Num;Groupe Candidat;Classement recrutement (dans le groupe);Type De Formation;Serie Diplome Code;Mention Diplome;Entree
140;Bac etranger;;Terminale;;;2017
18;Bac général-S;79;Terminale;S;Admis sans mention;2017
196;Bac général-S;;Terminale;S;;2017
83;Bac général-S;119;Terminale;S;Admis sans mention;2017
30;Bac Technologique (STI,STI2D);3;Terminale;STI2D;Admis mention Très Bien;2016
40;Bac Technologique (STI,STI2D);61;Terminale;STI2D;Admis mention Assez Bien;2018
195;Bac général-S (ISN);83;Terminale;S;Admis sans mention;2017
97;Bac général-S;;Reprise d'études;;;2016
106;Bac etranger;;Terminale;;;2017
207;Bac Technologique (STI,STI2D);37;Terminale;STI2D;Admis mention Bien;2018
11;Bac général-S (ISN);99;Terminale;S;Admis mention Assez Bien;2018
149;Bac général-S;66;Terminale;S;Admis mention Bien;2017
143;Bac général-S;113;Terminale;S;Admis sans mention;2016
201;Bac général-S;34;Terminale;S;Admis mention Bien;2018
204;Bac général-S;86;Terminale;S;Admis mention Assez Bien;2018
102;Bac Technologique (STI,STI2D);;Terminale;STI2D;Admis mention Assez Bien;2016
244;Bac Technologique (STI,STI2D);65;Terminale;STI2D;Admis mention Assez Bien;2018
236;Bac général-S;;Licence ;S;Admis sans mention;2016
246;Bac général-S;103;Terminale;S;Admis mention Assez Bien;2018
82;Bac général-S (ISN);70;Terminale;S;Admis sans mention;2016
181;Bac général-S (ISN);101;Terminale;S;Admis mention Assez Bien;2017
65;Bac général-S (ISN);30;Terminale;S;Admis sans mention;2016
219;Bac général-S;62;Licence ;S;Admis mention Assez Bien;2016
184;Bac général-S;58;Terminale;S;Admis mention Assez Bien;2016
79;Bac Technologique (STI,STI2D);8;Terminale;STI2D;Admis mention Bien;2018
245;Bac général-S;144;Terminale;S;Admis mention Assez Bien;2018
63;Bac general - autre (ES, L, etc.);7;Terminale;ES;Admis mention Assez Bien;2016
91;Bac Technologique (STI,STI2D);114;Terminale;STI2D;Admis mention Assez Bien;2018
186;Bac général-S (ISN);12;Terminale;S;Admis mention Assez Bien;2017
105;Bac général-S (ISN);98;Terminale;S;Admis sans mention;2017
56;Bac général-S (ISN);64;Terminale;S;Admis mention Assez Bien;2018
61;Bac général-S;197;Terminale;S;Admis sans mention;2018
100;Bac Technologique (STI,STI2D);115;Terminale;STI2D;Admis mention Assez Bien;2018
202;Bac général-S (ISN);42;Terminale;S;Admis mention Assez Bien;2018
123;Bac general - autre (ES, L, etc.);2;Terminale;ES;Admis mention Bien;2017
252;Bac etranger;;Terminale;;;2016
223;Bac général-S;14;Terminale;S;Admis mention Bien;2018
116;Bac général-S (ISN);45;Terminale;S;Admis mention Assez Bien;2018
4;Bac général-S;51;Terminale;S;Admis sans mention;2016
164;Bac général-S (ISN);58;Terminale;S;Admis mention Assez Bien;2016
87;Bac général-S;52;Terminale;S;Admis sans mention;2017
194;Bac général-S;14;Terminale;S;Admis mention Bien;2016
139;Bac etranger;;;;;2016
226;Bac Technologique (STI,STI2D);64;Terminale;STI2D;Admis mention Assez Bien;2017
33;Bac Technologique (STI,STI2D);6;Terminale;STL;Admis sans mention;2016
66;Bac général-S;102;Terminale;S;Admis sans mention;2016
134;Bac général-S (ISN);10;Terminale;S;Admis mention Bien;2018
20;Bac général-S;55;Terminale;S;Admis sans mention;2016
222;Bac général-S;99;Terminale;S;Admis sans mention;2016
172;Bac Technologique (STI,STI2D);49;Terminale;STI2D;Admis mention Assez Bien;2016
130;Bac général-S;59;Terminale;S;Admis mention Assez Bien;2017
86;Bac general - autre (ES, L, etc.);7;Terminale;ES;Admis sans mention;2018
73;Bac général-S;40;Terminale;S;Admis mention Assez Bien;2017
160;Bac général-S (ISN);83;Terminale;S;Admis sans mention;2016
111;Bac général-S (ISN);26;Terminale;S;Admis mention Assez Bien;2018
53;Bac Technologique (STI,STI2D);42;Terminale;STI2D;Admis mention Assez Bien;2018
96;Bac Technologique (STI,STI2D);3;Terminale;STI2D;Admis mention Bien;2018
71;Bac Technologique (STI,STI2D);97;Terminale;STI2D;Admis mention Assez Bien;2018
8;Bac général-S;134;Terminale;S;Admis mention Bien;2018
151;Bac Technologique (STI,STI2D);48;Terminale;STI2D;Admis mention Assez Bien;2016
13;Bac général-S;22;Terminale;S;Admis mention Bien;2017
136;Bac general - autre (ES, L, etc.);11;DUT;ES;Admis sans mention;2017
34;Bac general - autre (ES, L, etc.);1;Terminale;ES;Admis mention Assez Bien;2016
3;Bac général-S (ISN);109;Terminale;S;Admis mention Assez Bien;2017
233;Bac général-S;85;Licence ;S;Admis mention Assez Bien;2016
17;Bac Technologique (STI,STI2D);54;Terminale;STI2D;Admis sans mention;2016
36;Bac général-S;84;Terminale;S;Admis sans mention;2017
217;Bac Technologique (STI,STI2D);27;Terminale;STI2D;Admis mention Assez Bien;2018
121;Bac général-S;113;Terminale;S;Admis mention Assez Bien;2017
16;Bac général-S (ISN);106;Terminale;S;Admis sans mention;2018
228;Bac général-S (ISN);68;Terminale;S;Admis mention Assez Bien;2016
28;Bac général-S;126;Terminale;S;Admis mention Assez Bien;2017
206;Bac etranger;16;Terminale;S;Admis mention Très Bien;2017
103;Bac général-S (ISN);32;Terminale;S;Admis mention Assez Bien;2016
110;Bac général-S (ISN);87;Terminale;S;Admis sans mention;2017
176;Bac etranger;;;;;2016
51;Bac etranger;;;;;2016
81;Bac général-S (ISN);1;Terminale;S;Admis mention Très Bien;2016
199;Bac Technologique (STI,STI2D);52;Terminale;STI2D;Admis sans mention;2017
214;Bac Technologique (STI,STI2D);40;Terminale;STI2D;Admis mention Assez Bien;2016
72;;;Reprise d'études;;;2018
32;Bac général-S (ISN);54;Terminale;S;Admis mention Assez Bien;2018
249;Bac général-S;75;Terminale;S;Admis mention Assez Bien;2016
67;Bac général-S (ISN);91;Terminale;S;Admis mention Assez Bien;2018
215;Bac Technologique (STI,STI2D);60;Terminale;STI2D;Admis sans mention;2016
167;Bac général-S;;Terminale;;;2018
158;Bac general - autre (ES, L, etc.);10;Terminale;ES;Admis sans mention;2017
119;Bac general - autre (ES, L, etc.);5;Terminale;ES;Admis mention Assez Bien;2016
185;Bac général-S;66;Terminale;S;Admis sans mention;2018
128;Bac général-S;24;Terminale;S;Admis mention Assez Bien;2016
216;Bac Technologique (STI,STI2D);85;Terminale;STI2D;Admis mention Assez Bien;2018
126;Bac Technologique (STI,STI2D);83;Terminale;STI2D;Admis sans mention;2018
68;Bac général-S;;Terminale;S;;2016
189;Bac Professionnels;2;Terminale;P;Admis mention Bien;2017
15;Bac Technologique (STI,STI2D);55;Terminale;STI2D;Admis sans mention;2017
180;Bac Technologique (STI,STI2D);19;Terminale;STL;Admis mention Assez Bien;2017
127;Bac général-S;129;Terminale;S;Admis mention Assez Bien;2017
145;Bac Technologique (STI,STI2D);10;Terminale;STI2D;Admis mention Bien;2016
60;Bac général-S;62;Terminale;S;Admis mention Bien;2017
12;Bac général-S;96;Terminale;S;Admis mention Bien;2016
218;Bac général-S;51;Terminale;S;Admis mention Bien;2017
166;Bac général-S;63;Terminale;S;Admis sans mention;2017
250;Bac général-S (ISN);41;Terminale;S;Admis sans mention;2017
161;Bac général-S (ISN);72;Terminale;S;Admis sans mention;2017
76;Bac général-S;48;Terminale;S;Admis mention Assez Bien;2018
157;Bac général-S (ISN);28;Terminale;S;Admis mention Bien;2017
47;Bac général-S (ISN);49;Terminale;S;Admis sans mention;2016
132;Bac général-S;127;Terminale;S;Admis mention Assez Bien;2017
21;Bac général-S (ISN);15;Terminale;S;Admis mention Assez Bien;2016
211;Bac general - autre (ES, L, etc.);;Terminale;ES;;2016
210;Bac général-S;58;Terminale;S;Admis sans mention;2017
156;Bac Technologique (STI,STI2D);41;Terminale;STI2D;Admis mention Bien;2016
232;Bac Technologique (STI,STI2D);93;Terminale;STI2D;Admis sans mention;2018
92;Bac général-S;195;Licence ;S;Admis mention Assez Bien;2018
193;Bac général-S;111;Terminale;S;Admis mention Assez Bien;2017
7;Bac général-S (ISN);84;Terminale;S;Admis mention Assez Bien;2018
239;Bac Technologique (STI,STI2D);;Terminale;;;2016
27;Bac général-S;85;Terminale;S;Admis mention Assez Bien;2018
38;BacTechnologique (STG, autres);2;Terminale;STMG;Admis mention Bien;2017
39;Bac général-S (ISN);93;Terminale;S;Admis mention Assez Bien;2018
153;Bac général-S (ISN);169;Terminale;S;Admis sans mention;2018
19;Bac Technologique (STI,STI2D);84;Licence ;STI2D;Admis mention Bien;2018
141;Bac Technologique (STI,STI2D);;Terminale;STI2D;;2016
238;Bac Technologique (STI,STI2D);;Terminale;STI2D;;2016
84;Bac general - autre (ES, L, etc.);4;Reprise d'études;L;Admis sans mention;2016
248;Bac général-S (ISN);20;Terminale;S;Admis mention Assez Bien;2017
148;Bac général-S;;Terminale;S;;2016
251;Bac Technologique (STI,STI2D);77;Terminale;STI2D;Admis mention Assez Bien;2018
242;Bac Technologique (STI,STI2D);5;Terminale;STI2D;Admis mention Bien;2017
209;Bac general - autre (ES, L, etc.);3;Terminale;ES;Admis mention Bien;2018
256;Bac général-S (ISN);89;Terminale;S;Admis sans mention;2017
190;Bac général-S;;Reprise d'études;;;2018
231;Bac Technologique (STI,STI2D);17;Terminale;STI2D;Admis mention Assez Bien;2016
225;Bac général-S;103;Terminale;S;Admis sans mention;2016
142;Bac général-S (ISN);68;Terminale;S;Admis mention Bien;2018
44;Bac général-S (ISN);21;Terminale;S;Admis mention Assez Bien;2017
43;Bac général-S (ISN);7;Terminale;S;Admis mention Bien;2018
54;Bac général-S (ISN);;Terminale;S;Admis sans mention;2016
254;Bac général-S;;Reprise d'études;;;2018
170;Bac général-S;;Terminale;S;;2016
147;Bac général-S (ISN);;Terminale;S;;2016
247;Bac général-S;27;Terminale;S;Admis mention Assez Bien;2017
49;Bac Technologique (STI,STI2D);22;Terminale;STI2D;Admis mention Assez Bien;2016
58;Bac général-S;112;Terminale;S;Admis mention Assez Bien;2018
104;Bac général-S;216;Terminale;S;;2017
163;Bac général-S;72;Terminale;S;Admis mention Assez Bien;2016
101;Bac général-S (ISN);79;Terminale;S;Admis sans mention;2017
257;Bac général-S;107;Terminale;S;Admis sans mention;2017
178;Bac général-S (ISN);42;Terminale;S;Admis mention Bien;2017
243;Bac général-S (ISN);33;Terminale;S;Admis mention Assez Bien;2016
131;Bac Technologique (STI,STI2D);18;Terminale;STI2D;Admis mention Assez Bien;2016
255;Bac Technologique (STI,STI2D);90;Terminale;STI2D;Admis mention Bien;2018
115;Bac général-S;112;Terminale;S;Admis sans mention;2016
94;Bac général-S (ISN);103;Terminale;S;Admis sans mention;2017
64;Bac général-S (ISN);124;Terminale;S;Admis mention Assez Bien;2018
192;Bac général-S (ISN);47;Terminale;S;Admis sans mention;2018
208;Bac général-S (ISN);76;Terminale;S;Admis sans mention;2017
59;Bac général-S;23;Reprise d'études;S;Admis mention Assez Bien;2018
234;Bac Professionnels;3;Terminale;P;Admis mention Très Bien;2017
237;Bac général-S (ISN);6;Terminale;S;Admis mention Assez Bien;2018
191;Bac Technologique (STI,STI2D);18;Terminale;STI2D;Admis mention Bien;2018
69;Bac général-S (ISN);44;Terminale;S;Admis mention Assez Bien;2016
150;Bac Technologique (STI,STI2D);40;Terminale;STI2D;Admis mention Assez Bien;2017
29;Bac Technologique (STI,STI2D);31;Terminale;STI2D;Admis mention Bien;2017
77;Bac général-S;;Licence ;S;Admis sans mention;2016
99;Bac général-S (ISN);43;Terminale;S;Admis sans mention;2017
179;Bac général-S;98;Terminale;S;Admis mention Assez Bien;2018
212;Bac général-S;92;Terminale;S;Admis mention Assez Bien;2018
241;Bac général-S;207;Terminale;S;Admis mention Assez Bien;2018
135;Bac général-S;52;Terminale;S;Admis mention Bien;2018
41;Bac Technologique (STI,STI2D);;Terminale;;;2017
125;Bac Technologique (STI,STI2D);55;Terminale;STI2D;Admis mention Bien;2018
85;Bac général-S;109;Terminale;S;Admis sans mention;2016
240;Bac Technologique (STI,STI2D);106;Terminale;STI2D;Admis mention Assez Bien;2018
46;Bac général-S;123;Terminale;S;Admis mention Bien;2016
137;Bac Technologique (STI,STI2D);7;Terminale;STI2D;Admis mention Bien;2017
109;Bac général-S (ISN);10;Terminale;S;Admis mention Assez Bien;2016
114;Bac général-S;53;Terminale;S;Admis mention Assez Bien;2018
113;Bac Technologique (STI,STI2D);100;Terminale;STI2D;Admis mention Assez Bien;2018
24;Bac général-S;7;Terminale;S;Admis mention Bien;2018
174;Bac général-S (ISN);44;Terminale;S;Admis mention Assez Bien;2017
220;Bac Technologique (STI,STI2D);57;Terminale;STI2D;Admis mention Assez Bien;2018
175;Bac général-S (ISN);2;Terminale;S;Admis mention Très Bien;2018
108;Bac général-S (ISN);73;Terminale;S;Admis sans mention;2016
74;Bac général-S;22;Terminale;S;Admis mention Bien;2016
124;Bac Technologique (STI,STI2D);13;Terminale;STI2D;Admis mention Bien;2016
146;Bac général-S (ISN);37;Terminale;S;Admis sans mention;2017
165;Bac Technologique (STI,STI2D);;Terminale;STI2D;;2016
112;Bac général-S;5;Terminale;S;Admis mention Très Bien;2018
169;Bac général-S (ISN);50;Terminale;S;Admis mention Assez Bien;2017
144;Bac général-S (ISN);160;Terminale;S;Admis sans mention;2018
48;Bac général-S;29;Terminale;S;Admis mention Bien;2018
122;Bac général-S;16;Terminale;S;Admis mention Bien;2018
70;Bac général-S;83;Terminale;S;Admis sans mention;2018
6;Bac général-S (ISN);46;Terminale;S;Admis mention Assez Bien;2017
52;Bac général-S;78;Terminale;S;Admis mention Assez Bien;2017
26;Bac général-S;123;Terminale;S;Admis mention Assez Bien;2018
221;Bac général-S;76;Terminale;S;Admis mention Assez Bien;2017
253;Bac Technologique (STI,STI2D);24;Terminale;STI2D;Admis mention Assez Bien;2016
31;Bac général-S;110;Terminale;S;Admis sans mention;2017
159;Bac général-S;106;Terminale;S;Admis sans mention;2016
197;Bac général-S;133;Terminale;S;Admis sans mention;2018
10;Bac général-S;98;Terminale;S;Admis mention Assez Bien;2017
107;Bac Technologique (STI,STI2D);28;Terminale;STI2D;Admis mention Assez Bien;2016
23;Bac général-S;104;Terminale;S;Admis mention Assez Bien;2016
152;Bac général-S (ISN);75;Terminale;S;Admis sans mention;2018
80;Bac général-S (ISN);47;Terminale;S;Admis mention Bien;2017
42;BacTechnologique (STG, autres);2;Terminale;STMG;Admis mention Très Bien;2016
200;Bac général-S (ISN);151;DUT;S;Admis sans mention;2018
182;Bac general - autre (ES, L, etc.);15;Terminale;ES;Admis mention Assez Bien;2018
155;Bac general - autre (ES, L, etc.);10;Licence ;ES;Admis sans mention;2017
14;Bac general - autre (ES, L, etc.);6;Terminale;ES;Admis mention Assez Bien;2017
89;Bac Technologique (STI,STI2D);48;Terminale;STI2D;Admis mention Assez Bien;2017
162;Bac général-S;66;Terminale;S;Admis sans mention;2016
2;Bac général-S (ISN);71;Terminale;S;Admis sans mention;2016
95;Bac général-S (ISN);68;Terminale;S;Admis mention Assez Bien;2017
57;Bac général-S;93;Terminale;S;Admis mention Assez Bien;2016
90;Bac général-S (ISN);110;Terminale;S;Admis mention Assez Bien;2017
183;BacTechnologique (STG, autres);6;Terminale;STMG;Admis mention Assez Bien;2016
188;Bac général-S (ISN);66;Terminale;S;Admis mention Assez Bien;2016
9;Bac général-S (ISN);146;Terminale;S;Admis sans mention;2018
229;Bac Technologique (STI,STI2D);43;Terminale;STL;Admis mention Bien;2017
230;Bac Technologique (STI,STI2D);58;Terminale;STI2D;Admis mention Assez Bien;2016
75;Bac Technologique (STI,STI2D);34;Terminale;STI2D;Admis sans mention;2017
5;;;Reprise d'études;;;2017
25;Bac général-S;91;Terminale;S;Admis mention Bien;2018
213;Bac général-S;129;Terminale;S;Admis sans mention;2018
227;Bac Technologique (STI,STI2D);50;Terminale;STI2D;Admis mention Bien;2017
198;Bac Technologique (STI,STI2D);63;Terminale;STI2D;Admis mention Assez Bien;2017
129;Bac général-S (ISN);64;Terminale;S;Admis sans mention;2016
117;Bac général-S;59;Terminale;S;Admis sans mention;2016
203;Bac Technologique (STI,STI2D);63;Terminale;STI2D;Admis mention Assez Bien;2016
118;Bac Technologique (STI,STI2D);;Terminale;STI2D;;2016
224;Bac etranger;;Terminale;;;2017
173;Bac général-S (ISN);56;Terminale;S;Admis mention Bien;2016
93;Bac général-S;47;Terminale;S;Admis mention Assez Bien;2017
22;Bac général-S (ISN);16;Formations d'ingénieurs;S;Admis mention Bien;2017
154;Bac général-S;69;Terminale;S;Admis sans mention;2016
1;Bac général-S;29;Terminale;S;Admis mention Assez Bien;2016
37;Bac Technologique (STI,STI2D);38;Terminale;STI2D;Admis mention Assez Bien;2018
98;Bac général-S (ISN);92;Terminale;S;Admis mention Assez Bien;2018
62;Bac Professionnels;1;Terminale;P;Admis mention Très Bien;2016
